card_id,case_id,case_type,noise_pattern,path_id,terminal_target,terminal_type,scripted_step_count,expected_outputs,review_card_ready,runtime_execution_ready,scoring_ready,calibration_ready
CARD_001_CLEAN_TP_001,CLEAN_TP_001,clean_path,none,TP_001,G_TRIAGE_COMPLETE,gate,2,OUT_TRIAGE_NOTE,True,False,False,False
CARD_002_CLEAN_TP_002,CLEAN_TP_002,clean_path,none,TP_002,G_TRIAGE_COMPLETE,gate,2,OUT_TRIAGE_NOTE,True,False,False,False
CARD_003_CLEAN_TP_003,CLEAN_TP_003,clean_path,none,TP_003,G_TRIAGE_COMPLETE,gate,2,OUT_TRIAGE_NOTE,True,False,False,False
CARD_004_NOISE_TP_001_DISTRACTION,NOISE_TP_001_DISTRACTION,noise_path,distraction,TP_001,G_TRIAGE_COMPLETE,gate,3,OUT_TRIAGE_NOTE,True,False,False,False
CARD_005_NOISE_TP_001_INVALID_BRANCH,NOISE_TP_001_INVALID_BRANCH,noise_path,invalid_branch,TP_001,G_TRIAGE_COMPLETE,gate,3,OUT_TRIAGE_NOTE,True,False,False,False
CARD_006_NOISE_TP_001_CLARIFICATION_WITHOUT_SUBMIT,NOISE_TP_001_CLARIFICATION_WITHOUT_SUBMIT,noise_path,clarification_without_submit,TP_001,G_TRIAGE_COMPLETE,gate,3,OUT_TRIAGE_NOTE,True,False,False,False
CARD_007_NOISE_TP_001_SKIP_AHEAD,NOISE_TP_001_SKIP_AHEAD,noise_path,skip_ahead,TP_001,G_TRIAGE_COMPLETE,gate,3,OUT_TRIAGE_NOTE,True,False,False,False
CARD_008_NOISE_TP_002_DISTRACTION,NOISE_TP_002_DISTRACTION,noise_path,distraction,TP_002,G_TRIAGE_COMPLETE,gate,3,OUT_TRIAGE_NOTE,True,False,False,False
CARD_009_NOISE_TP_002_INVALID_BRANCH,NOISE_TP_002_INVALID_BRANCH,noise_path,invalid_branch,TP_002,G_TRIAGE_COMPLETE,gate,3,OUT_TRIAGE_NOTE,True,False,False,False
CARD_010_NOISE_TP_002_CLARIFICATION_WITHOUT_SUBMIT,NOISE_TP_002_CLARIFICATION_WITHOUT_SUBMIT,noise_path,clarification_without_submit,TP_002,G_TRIAGE_COMPLETE,gate,3,OUT_TRIAGE_NOTE,True,False,False,False
CARD_011_NOISE_TP_002_SKIP_AHEAD,NOISE_TP_002_SKIP_AHEAD,noise_path,skip_ahead,TP_002,G_TRIAGE_COMPLETE,gate,3,OUT_TRIAGE_NOTE,True,False,False,False
CARD_012_NOISE_TP_003_DISTRACTION,NOISE_TP_003_DISTRACTION,noise_path,distraction,TP_003,G_TRIAGE_COMPLETE,gate,3,OUT_TRIAGE_NOTE,True,False,False,False
CARD_013_NOISE_TP_003_INVALID_BRANCH,NOISE_TP_003_INVALID_BRANCH,noise_path,invalid_branch,TP_003,G_TRIAGE_COMPLETE,gate,3,OUT_TRIAGE_NOTE,True,False,False,False
CARD_014_NOISE_TP_003_CLARIFICATION_WITHOUT_SUBMIT,NOISE_TP_003_CLARIFICATION_WITHOUT_SUBMIT,noise_path,clarification_without_submit,TP_003,G_TRIAGE_COMPLETE,gate,3,OUT_TRIAGE_NOTE,True,False,False,False
CARD_015_NOISE_TP_003_SKIP_AHEAD,NOISE_TP_003_SKIP_AHEAD,noise_path,skip_ahead,TP_003,G_TRIAGE_COMPLETE,gate,3,OUT_TRIAGE_NOTE,True,False,False,False
